n79FINALTeams,9,RtoD2,R to D2 (9),9.0,22.5,37.5,36.0,27.0
n79FINALTeams,10,WestLC,West Louisville Chess Club (7),8.5,26.5,45.5,41.5,33.5
n79FINALTeams,11,StIgna,St. Ignatius (4),8.5,23.0,38.5,35.5,21.5
n79FINALTeams,12,Master,Master Minds (5),8.0,23.5,39.5,31.5,26.0
n79FINALTeams,13,Colera,Colerain (5),8.0,22.0,38.5,32.0,26.0
n79FINALTeams,14,Wclerm,West Clermont Middle School (3),7.0,22.0,36.5,25.0,19.0
n79FINALTeams,15,StSusa,St. Susanna (4),6.5,23.0,39.5,26.5,19.5
n79FINALTeams,16,DayMHS,Dayton Middle/High School (6),6.5,22.5,35.5,22.0,21.0
n79FINALTeams,17,HolyFm,Holy Family School (3),6.5,21.5,38.5,32.5,19.0
n79FINALTeams,18,Ludlow,Ludlow Independent Schools (3),5.5,21.5,35.0,15.5,18.5
n79FINALTeams,19,MrOmar,Mr. Omar's Chess Academy (2),5.0,16.5,29.0,19.0,21.0
n79FINALTeams,20,StColu,St. Columban School (3),5.0,15.5,26.0,5.0,12.0
n79FINALTeams,21,MtAiry,Mt. Airy (2),5.0,15.0,23.5,15.0,15.0
n79FINALTeams,22,NorwdK,Norwood Knights (2),5.0,14.5,25.5,20.0,14.0
n79FINALTeams,23,NCollg,North College Hill (4),4.0,19.0,30.5,11.0,9.0
n79FINALTeams,24,CinCDS,Cincinnati Country Day (2),4.0,15.5,24.5,11.0,13.0
n1012FINALTeams,1,MrOmar,Mr. Omar's Chess Academy (6),9.0,25.5,44.0,49.0,30.5
n1012FINALTeams,2,AKingQ,A King and A Queen (2),7.0,13.5,24.0,26.0,22.0
n1012FINALTeams,3,DetCCC,Detroit City Chess Club (4),6.5,23.0,40.5,22.0,20.5
n1012FINALTeams,4,Readin,Reading (2),5.0,14.0,23.5,20.0,17.0
n1012FINALTeams,5,Goshen,Goshen (2),5.0,13.0,23.0,14.0,12.0
n1012FINALTeams,6,MiddlH,Middletown High School (3),4.0,14.5,23.5,15.0,16.0
n1012FINALTeams,7,LitlMi,Little Miami High School (2),3.5,15.0,23.5,13.5,10.5
rk12FINALteam,1,DetCCC,Detroit City Chess Club (16),11.5,24.0,41.5,54.5,34.0
rk12FINALteam,2,CCL,CCL (2),6.5,18.0,29.0,35.5,20.0
rk12FINALteam,3,Wellin,Wellington (5),5.5,19.0,32.0,11.5,14.5
rk3FINALteam,1,Dragon,Dragon Chess Center (4),9.5,19.0,34.5,34.5,27.0
rk3FINALteam,2,DetCCC,Detroit City Chess Club (6),7.5,21.5,32.0,21.5,17.5
rk3FINALteam,3,GrtrCC,Greater Cincinnati Chinese Scho,(2),6.5,16.5,26.5,30.5  20.0
rk3FINALteam,4,Brande,Brandeis (2),6.0,15.5,27.5,30.0,17.0
rk3FINALteam,5,CCL,CCL (2),6.0,13.0,22.5,23.5,16.0
rk3FINALteam,6,Konopk,Konopka (2),5.0,15.5,26.0,23.0,14.0
rk3FINALteam,7,Fairbn,Fairborn (3),3.5,20.0,32.5,9.0,9.5
r46u800FINALteam,1,WestLC,West Louisville Chess Club (7),10.5,25.0,42.0,49.5,30.5
r46u800FINALteam,2,ColsAc,ColsAc (4),10.0,25.5,41.0,44.5,28.5
r46u800FINALteam,3,DetCCC,Detroit City Chess Club (13),9.0,27.0,43.5,38.5,30.0
r46u800FINALteam,4,Dragon,Dragon Chess Center (3),9.0,23.0,39.5,41.0,27.5
r46u800FINALteam,5,SycamA,Sycamore Aves (3),9.0,20.0,34.5,31.0,23.0
r46u800FINALteam,6,CCL,CCL (2),8.5,15.5,24.5,39.5,24.5
r46u800FINALteam,7,Fairvw,Fairview Clifton (2),4.5,14.0,25.0,19.0,14.5
r46u800FINALteam,8,SonsQu,Sons of Queens Baltimore (2),4.0,13.5,22.5,13.0,13.0
r46FINALteam,1,Dragon,Dragon Chess Center (4),9.5,22.5,36.5,39.5,23.5
r46FINALteam,2,DetCCC,Detroit City Chess Club (8),8.0,22.0,37.5,26.5,22.0
r46FINALteam,3,GrtrCC,Greater Cincinnati Chinese Scho,(3),6.5,24.0,41.5,30.5  24.5
r46FINALteam,4,Herita,Heritage Elementary (2),3.5,15.0,23.0,12.5,10.0
r79FINALteam,1,DetCCC,Detroit City Chess Club (27),14.0,29.5,49.5,90.0,44.0
r79FINALteam,2,Dragon,Dragon Chess Center (6),9.5,23.5,38.0,40.0,27.5
r79FINALteam,3,CCL,CCL (4),8.5,26.5,45.5,45.5,26.5
r79FINALteam,4,WalHil,Walnut Hills (3),7.0,21.5,37.5,25.0,19.0
r79FINALteam,5,NagelM,Nagel Middle School (3),7.0,19.5,35.5,21.0,18.0
r79FINALteam,6,Mason,Mason (3),6.0,17.5,29.5,12.5,13.0
r79FINALteam,7,SuperS,Super Saturday Knights (2),5.0,14.0,22.0,18.0,18.0
r79FINALteam,8,Beechw,Beechwood (2),3.0,13.5,22.0,9.0,8.5
